NN match: P0=nn vs P1=nn
  P0: nn nn_models/M_55k_snap6th/best.pt
  P1: nn nn_models/M_55k_game6th/best.pt
  sims:     500 (mcts seats only)
  c_uct:    1.4
  n_random_fencing: 4
  fpu_offset: 0.0
  mcts_temperature: 0.2
  nn_temperature: 0.0
  games:    200 (seeds 0..199)
  jobs:     4

lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
lib/python3.10/site-packages/torch/_utils.py:783: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
[  1/200] seed=  1 SP=0 P0= 27 P1= 23 (P0)  P0W=1 P1W=0 D=0  avgM=+4.00  t=1.4s elapsed=3s eta=619s
[ 81/200] seed= 80 SP=1 P0= 34 P1= 24 (P0)  P0W=60 P1W=21 D=0  avgM=+4.12  t=1.0s elapsed=34s eta=50s
[ 82/200] seed= 81 SP=0 P0= 25 P1= 23 (P0)  P0W=61 P1W=21 D=0  avgM=+4.10  t=1.2s elapsed=35s eta=50s
[ 83/200] seed= 83 SP=1 P0= 31 P1= 27 (P0)  P0W=62 P1W=21 D=0  avgM=+4.10  t=1.2s elapsed=35s eta=49s
[ 84/200] seed= 82 SP=1 P0= 38 P1= 26 (P0)  P0W=63 P1W=21 D=0  avgM=+4.19  t=1.6s elapsed=35s eta=48s
[ 85/200] seed= 84 SP=1 P0= 30 P1= 28 (P0)  P0W=64 P1W=21 D=0  avgM=+4.16  t=1.1s elapsed=35s eta=47s
[ 86/200] seed= 85 SP=1 P0= 32 P1= 29 (P0)  P0W=65 P1W=21 D=0  avgM=+4.15  t=1.1s elapsed=36s eta=47s
[ 87/200] seed= 88 SP=1 P0= 18 P1= 23 (P1)  P0W=65 P1W=22 D=0  avgM=+4.05  t=1.2s elapsed=36s eta=47s
[ 88/200] seed= 86 SP=1 P0= 25 P1= 27 (P1)  P0W=65 P1W=23 D=0  avgM=+3.98  t=1.8s elapsed=37s eta=46s
[ 89/200] seed= 87 SP=1 P0= 38 P1= 26 (P0)  P0W=66 P1W=23 D=0  avgM=+4.07  t=1.9s elapsed=37s eta=46s
[ 90/200] seed= 90 SP=1 P0= 23 P1=  9 (P0)  P0W=67 P1W=23 D=0  avgM=+4.18  t=1.0s elapsed=37s eta=46s
