Run dir: nn_models/sp_v_256x2
Device: cpu
Target mode: margin | head: linear | loss: mse

  cache MISS: encoding cpp_selfplay_30k
  encoded cpp_selfplay_30k/worker_03_c064.pkl: descs so far=6049532
  encoded cpp_selfplay_30k/worker_03_c065.pkl: descs so far=6070394
  encoded cpp_selfplay_30k/worker_03_c066.pkl: descs so far=6090950
  encoded cpp_selfplay_30k/worker_03_c067.pkl: descs so far=6111774
  encoded cpp_selfplay_30k/worker_03_c068.pkl: descs so far=6132602
  encoded cpp_selfplay_30k/worker_03_c069.pkl: descs so far=6153642
  encoded cpp_selfplay_30k/worker_03_c070.pkl: descs so far=6174392
  encoded cpp_selfplay_30k/worker_03_c071.pkl: descs so far=6195040
  encoded cpp_selfplay_30k/worker_03_c072.pkl: descs so far=6215884
  encoded cpp_selfplay_30k/worker_03_c073.pkl: descs so far=6237086
  encoded cpp_selfplay_30k/worker_03_c074.pkl: descs so far=6257816
  wrote cache encoded_v2.npz (83 MB)
  cache MISS: encoding cpp_selfplay_10k
  encoded cpp_selfplay_10k/worker_00_c000.pkl: descs so far=21146
  encoded cpp_selfplay_10k/worker_00_c001.pkl: descs so far=42226
  encoded cpp_selfplay_10k/worker_00_c002.pkl: descs so far=63166
  encoded cpp_selfplay_10k/worker_00_c003.pkl: descs so far=83944
  encoded cpp_selfplay_10k/worker_00_c004.pkl: descs so far=104894
  encoded cpp_selfplay_10k/worker_00_c005.pkl: descs so far=125678
  encoded cpp_selfplay_10k/worker_00_c006.pkl: descs so far=146706
  encoded cpp_selfplay_10k/worker_00_c007.pkl: descs so far=167554
  encoded cpp_selfplay_10k/worker_00_c008.pkl: descs so far=188402
  encoded cpp_selfplay_10k/worker_00_c009.pkl: descs so far=209288
  encoded cpp_selfplay_10k/worker_00_c010.pkl: descs so far=230184
  encoded cpp_selfplay_10k/worker_00_c011.pkl: descs so far=251022
  encoded cpp_selfplay_10k/worker_00_c012.pkl: descs so far=271786
  encoded cpp_selfplay_10k/worker_00_c013.pkl: descs so far=292280
  encoded cpp_selfplay_10k/worker_00_c014.pkl: descs so far=313346
  encoded cpp_selfplay_10k/worker_00_c015.pkl: descs so far=333824
  encoded cpp_selfplay_10k/worker_00_c016.pkl: descs so far=354838
  encoded cpp_selfplay_10k/worker_00_c017.pkl: descs so far=375408
  encoded cpp_selfplay_10k/worker_00_c018.pkl: descs so far=396216
  encoded cpp_selfplay_10k/worker_00_c019.pkl: descs so far=416960
  encoded cpp_selfplay_10k/worker_00_c020.pkl: descs so far=437836
  encoded cpp_selfplay_10k/worker_00_c021.pkl: descs so far=458844
  encoded cpp_selfplay_10k/worker_00_c022.pkl: descs so far=479672
  encoded cpp_selfplay_10k/worker_00_c023.pkl: descs so far=500446
  encoded cpp_selfplay_10k/worker_00_c024.pkl: descs so far=521606
  encoded cpp_selfplay_10k/worker_01_c000.pkl: descs so far=542684
  encoded cpp_selfplay_10k/worker_01_c001.pkl: descs so far=563338
  encoded cpp_selfplay_10k/worker_01_c002.pkl: descs so far=584436
  encoded cpp_selfplay_10k/worker_01_c003.pkl: descs so far=605346
  encoded cpp_selfplay_10k/worker_01_c004.pkl: descs so far=626416
  encoded cpp_selfplay_10k/worker_01_c005.pkl: descs so far=647418
  encoded cpp_selfplay_10k/worker_01_c006.pkl: descs so far=668254
  encoded cpp_selfplay_10k/worker_01_c007.pkl: descs so far=689198
  encoded cpp_selfplay_10k/worker_01_c008.pkl: descs so far=709942
  encoded cpp_selfplay_10k/worker_01_c009.pkl: descs so far=730454
  encoded cpp_selfplay_10k/worker_01_c010.pkl: descs so far=751778
  encoded cpp_selfplay_10k/worker_01_c011.pkl: descs so far=772838
  encoded cpp_selfplay_10k/worker_01_c012.pkl: descs so far=793594
  encoded cpp_selfplay_10k/worker_01_c013.pkl: descs so far=814458
  encoded cpp_selfplay_10k/worker_01_c014.pkl: descs so far=834998
  encoded cpp_selfplay_10k/worker_01_c015.pkl: descs so far=855894
  encoded cpp_selfplay_10k/worker_01_c016.pkl: descs so far=876742
  encoded cpp_selfplay_10k/worker_01_c017.pkl: descs so far=897856
  encoded cpp_selfplay_10k/worker_01_c018.pkl: descs so far=918896
  encoded cpp_selfplay_10k/worker_01_c019.pkl: descs so far=939870
  encoded cpp_selfplay_10k/worker_01_c020.pkl: descs so far=960802
  encoded cpp_selfplay_10k/worker_01_c021.pkl: descs so far=981200
  encoded cpp_selfplay_10k/worker_01_c022.pkl: descs so far=1001772
  encoded cpp_selfplay_10k/worker_01_c023.pkl: descs so far=1022434
  encoded cpp_selfplay_10k/worker_01_c024.pkl: descs so far=1043540
  encoded cpp_selfplay_10k/worker_02_c000.pkl: descs so far=1064520
  encoded cpp_selfplay_10k/worker_02_c001.pkl: descs so far=1085404
  encoded cpp_selfplay_10k/worker_02_c002.pkl: descs so far=1106548
  encoded cpp_selfplay_10k/worker_02_c003.pkl: descs so far=1127270
  encoded cpp_selfplay_10k/worker_02_c004.pkl: descs so far=1148052
  encoded cpp_selfplay_10k/worker_02_c005.pkl: descs so far=1169118
  encoded cpp_selfplay_10k/worker_02_c006.pkl: descs so far=1189904
  encoded cpp_selfplay_10k/worker_02_c007.pkl: descs so far=1211232
  encoded cpp_selfplay_10k/worker_02_c008.pkl: descs so far=1232152
  encoded cpp_selfplay_10k/worker_02_c009.pkl: descs so far=1252990
  encoded cpp_selfplay_10k/worker_02_c010.pkl: descs so far=1273792
  encoded cpp_selfplay_10k/worker_02_c011.pkl: descs so far=1294960
  encoded cpp_selfplay_10k/worker_02_c012.pkl: descs so far=1315710
  encoded cpp_selfplay_10k/worker_02_c013.pkl: descs so far=1336486
  encoded cpp_selfplay_10k/worker_02_c014.pkl: descs so far=1357364
  encoded cpp_selfplay_10k/worker_02_c015.pkl: descs so far=1378472
  encoded cpp_selfplay_10k/worker_02_c016.pkl: descs so far=1399590
  encoded cpp_selfplay_10k/worker_02_c017.pkl: descs so far=1420484
  encoded cpp_selfplay_10k/worker_02_c018.pkl: descs so far=1441572
  encoded cpp_selfplay_10k/worker_02_c019.pkl: descs so far=1462342
